hotel_name,city,country,stars,rating,price_per_night,currency,amenities,contact_email,price_usd
Premier Sydney Haven,Sydney,Australia,3,,322,AUD,"Business Center, WiFi",,209.3
Pacific Barcelona Suites,Barcelona,Spain,2,3.1,223,EUR,"Conference Room, WiFi",,240.84
Urban Tokyo Resort,Tokyo,Japan,2,,12940,JPY,"Pool, WiFi, Gym",stay@urbantokyoresort.com,85.4
Elite Paris Haven,Paris,France,3,3.6,241,EUR,"Pool, Spa, WiFi",stay@eliteparishaven.com,260.28
Grand Bangkok Inn,Bangkok,Thailand,,4.1,5578,THB,"Airport Shuttle, WiFi, Pool",stay@grandbangkokinn.com,156.18
Classic Kuala Lumpur Manor,Kuala Lumpur,Malaysia,5,4.2,543,MYR,"WiFi, Restaurant, Bar",stay@classickualalumpurmanor.com,119.46
Luxury Seoul Residences,Seoul,South Korea,,5.0,91197,KRW,"Business Center, WiFi",,68.4
Heritage Tokyo Hotel,Tokyo,Japan,2,,23080,JPY,"Business Center, WiFi",,152.33
Pacific Hong Kong Suites,Hong Kong,Hong Kong,4,4.4,3260,HKD,"WiFi, Restaurant, Bar",stay@pacifichongkongsuites.com,417.28
Classic Tokyo Inn,Tokyo,Japan,3,4.7,39148,JPY,"Business Center, WiFi",stay@classictokyoinn.com,258.38
Classic New York Inn,New York,USA,3,3.6,640,USD,"Conference Room, WiFi",stay@classicnewyorkinn.com,640.0
Heritage London Haven,London,UK,,4.8,295,GBP,"Pool, WiFi, Gym",stay@heritagelondonhaven.com,374.65
Elite Sydney Manor,Sydney,Australia,2,4.2,369,AUD,"WiFi, Restaurant, Bar",stay@elitesydneymanor.com,239.85
Royal Singapore Palace,Singapore,Singapore,5,3.5,309,SGD,"Pool, WiFi, Gym",stay@royalsingaporepalace.com,228.66
Heritage Barcelona Resort,Barcelona,Spain,3,4.8,198,EUR,"Pool, Gym, Restaurant",stay@heritagebarcelonaresort.com,213.84
Classic Barcelona Manor,Barcelona,Spain,2,3.8,162,EUR,"Pool, WiFi, Breakfast Included",stay@classicbarcelonamanor.com,174.96
Plaza Bangkok Boutique,Bangkok,Thailand,4,3.9,6232,THB,"Business Center, WiFi",,174.5
Classic London Tower,London,UK,2,4.8,175,GBP,"WiFi, Restaurant, Bar",stay@classiclondontower.com,222.25
Classic Kuala Lumpur Tower,Kuala Lumpur,Malaysia,5,4.2,172,MYR,,,37.84
Elite Seoul Boutique,Seoul,South Korea,4,3.4,202590,KRW,,stay@eliteseoulboutique.com,151.94
Classic Sydney Residences,Sydney,Australia,5,4.5,405,AUD,"Business Center, WiFi",stay@classicsydneyresidences.com,263.25
Classic Manila Lodge,Manila,Philippines,5,5.0,9519,PHP,,stay@classicmanilalodge.com,166.58
Royal Paris Retreat,Paris,France,3,3.4,219,EUR,"Pool, Gym, Restaurant",stay@royalparisretreat.com,236.52
Grand Singapore Resort,Singapore,Singapore,2,4.5,508,SGD,"Pool, WiFi, Gym",stay@grandsingaporeresort.com,375.92
Premier Bangkok Palace,Bangkok,Thailand,5,4.0,8213,THB,"Pool, WiFi, Breakfast Included",,229.96
